Syllables,Cumulative FREQcount
 trɑsh ,1
fil ,91
løːks,490
rup,12237
 vlul ,3
 jɪr,153
 spɑk ,12
klɛd ,6
ʃɛms,1
 leːnts,4
vərsxrlklŋ ,1
rɑnx ,73
ʋaːrln,1
 tɵz ,27
vərwl ,4
 skɵn ,1445
 fɑkst,41
uh ,128
steːn,3085
zɛrk,14
dɔrps ,19
 bɔlt ,1
ɑb ,6324
hɛns,132
pɵls ,7
 jɑt,443
blɪ ,480
hœyx ,86
 ʋɛrp ,166
 strɔph ,4
 vɔr ,919
 fliɣ ,5
hɔnts,9
pjɪn,1
 flɪt ,35
ɑsl,13
boːs,4696
ʋɑjŋ ,11
 bɛk ,565
 ɣɛlz ,2
 nɛɪnh ,3
 ʃɛŋ ,4
ʃneː,4
 daːts ,1
 lɵʃ,4
kreːftʲ ,12
 ɣɑnt,953
 taːt,4339
 kaːɲ ,5
ijt,4
 drɛxt ,5
dɔː ,60
bri ,6368
rɔf,1544
 laːd ,3
nɪks,36992
zyls,1
nɪnt,13
kɔnlŋln,12
 rɛrlps,1
rɑjn ,126
 bɑrn,1
 dɪrkt,25
ɣəsx ,4820
aːnx ,1
krɪp,1657
ɪnljstlŋ ,1
 lɪm ,308
 brɔk,25
 skoːl ,8
dɔt ,3
 lɔnlst,1
dɑms,267
tnɪxt,1
kɔrn ,309
ɣɑdz ,1
lrkutsk,6
 sœyt ,118
jøːɣd ,272
 frɛmt,11
 slɛŋ ,12
 sɑph ,2
slɵɣ ,8
 ɔlp,2
 spruj,29
 laːr,4916
tɔɾ ,462
 vɛɪf ,105
 mɑns,1034
pnɵp,7
 ʋult,5
 taːrtʲ ,43
lɔrk,5
 doː ,8000
spitst,19
dʋɛrɣz ,1
 ʋeːsh ,1
 tɑlr,1
pɑrt ,4108
vɔt,138
sʋɛɪ ,1
ɣɔm,621
 ʋeːs ,1
 veːns,1
 blut,581
 ɑŋsh ,5
bhɵ ,1
ɑlʃ ,4
kɛɪr,1
krœyd ,52
ɛlndlxt,1
 skrɑns,4
 ɣraː ,7461
sxɔɡ ,10
mɑrlt,1
mɔrs,198
 pɑrt,1143
sxmɛn ,24
hɛlmz ,4
 lɛʃ,2
kujs,1
budw ,18
tsi ,2
ɔft ,266
ʃaːf,1
lnœyt ,1
 ɣɑlm,5
kœyltʲ ,44
sprɛ ,879
tik ,224
 nɔs,269
 vreː ,3116
zɑŋ ,960
 stoːrs,4
toːntʲ ,63
 ɣøːm,4
 təz ,1
pɛx ,45
flɑps,21
dɪf ,26
mɵnlt ,2
 ʋɑŋ,107
pɛɪɣn ,7
baːrdh ,3
reːp ,209
nɔrts,16
liv ,11925
hɔk,360
 vrind ,4
 ɛlpt,23
pfɑf ,1
 zɪp,4
 ʃɑls,85
aːjt,5290
sɵst,27
 vɪtx,43
krɵmls,1
ɔmsxrljvlŋ,1
strɔh ,4
koːrs,21
jʌʊh ,5
spritʲ ,10
 sxɔk ,8
 mɛɪŋ ,13
pɔʋh ,1
ʋɛndlŋ,1
 stɪxt ,2
vɔtʲ ,1
sleːps,8
nɪls,6
 kɛɪk,2863
kœyd ,1
dɑwk,17
 ɑms,548
drɛx,82
klɑxtʲ ,1
 ʋɪlt ,3
kʌʊtst,3
ʃɪsh ,2
vɪx,307
zʋeːmp ,3
 rɛf ,5
lɑk ,2962
 filtʲ ,1
 ɣlɪŋ,2
mɔːrh ,5
prɛl,3
lɛxs,26
ɣnɔkx ,18
 pɛɪn,1340
ʋzɛns,1
 blɵms,4
ʃɵmp ,1
sɑm,4971
sxʋɛɪ ,29
rɑk,21939
tʃɪŋ ,1
 feːks,1
 krɔz ,1
jɑkk,334
 trɑk ,659
 ʋoːn ,2198
ɔpk ,662
slɑx,16072
ɵm,19679
brɑs,170
tʌʊb ,10
 ɣɑrts,49
kɛmph ,10
ŋøːn ,4
ɔkh ,334
stɑŋk ,5
kɑɾr,51
 vlɵxt,922
 spə ,1141
 ʋeːkt,131
 deːt,638
 ɔts,46
flɵtsh ,1
 plɛɪt,68
 dɑx,40154
kʋɑm,20941
 zɛph ,199
 ɣloːp ,7
 drux,323
maːnt ,42
jɛz ,63
rɔdsh ,1
 zɪxs,1
krɛŋk,146
 flɪ ,69
hɑjx,12
ŋhy ,1
 vɔf,2
ʋɔrks,11
splɑt,13
 oːvdsk ,7
 roːft,835
hɪn ,825
slɪst,1585
 skɑɾ ,5
ɪtzh ,20
 rɑŋ ,353
 skreːn ,1
 tɛɪts,194
lnmɑn,9
floːp,594
fœyv ,4
flɵtz ,1
ʋɑrts,392
 sxɛsx ,3
 nɛs,3382
jɵdɣ ,2
 frɛm ,2
ruk,4050
ɾruf,1
 ʋɪxts ,3
kɔlf,44
 teːf ,22
kɑhr,9
 lɪɣlŋ,6
prɑ ,38
bɑd ,2317
tij ,4
 rɵn,264
 zənd ,181
zøː ,714
ɛrnst,257
ɵltwl ,2
rɑnt,19400
 ɣɛn ,5043
 neːl,6082
lsmaːj,1
knɪxtsh ,1
vrɑp,6
 bəx ,2
 ɵzh ,1
sxɔnh ,1
ɣɛɪl ,33
kyp,2
 boːl ,4
breːm,26
 stəls,47
 slɵls,1
ɣɛns,23
 ɣɛɪsh ,1
 zɪrt,3688
brʌʊxt,3
 spil,12
zɑlv ,23
fɪsh ,249
 seːkz ,1
fɵst,6
fyt,3
slɔrpt,7
tɵxs,1
sphɪɣ ,2
mɔŋ,420
tʋɛɪx,15
 kɔmsx ,19
 timst,1
lsraːls,3
brɑnts,9
sɑrx ,37
mɛŋt,271
 rɑŋ,668
beːft,73
mkɑ ,14
ɣɵl ,231
klɑjm,347
ʋhɛ ,1
 drɑn,107
sɪntʲ ,1
 ɛldswlŋ ,1
 sɪɣn ,1
ɪːrljk,3
skɵs,301
 vʌʊts,1
xhɑ ,3
ɣrɛns,1802
 sxijn ,1
vɑrnh ,3
ɛrx,39634
 lɛph ,34
sxɔrp,1
slɑr ,1
kris,12
ʃɑwns,10
fɛlt,185
kɔs,5514
 ɣlɛɪ ,84
ɣɑs,6000
 tɪz ,44
sxɵd ,5
 rɑn ,19316
 jɔb ,2
hɪp,594
 naːkx ,1
 bərx ,43
 rœyth ,22
 lɛɪz ,3
ʋɑw,2
 pɑrtlj,1
 rhɛɪtsx ,2
 loːn,528
kvɪns,18
kɛnt ,198
boːtʲ ,168
trɪŋ ,73
 skɛrn,5
sɑrt,153
 tɔŋt,6
hɛlmp ,4
vri,54444
 sɵls,8
bɔnz ,17
 poːx ,1
kaːrs,855
tɔrst,6
spis ,5
 zikt,132
 slɔxs,1
 ʋɔhl,14
eʊ ,8235
 lɑh,834
 vux,457
stɑx,465
 stɪxh ,15
ʃɪt ,53
tɑjs,1516
jɔst,4
 bɛrxt,563
leːts,60
 spɛɪltʲ ,14
bɔk ,1390
 neːnsx ,1
dɵmp ,181
spɑrk ,5
vɑr,3883
kɪsh ,24
 sxoːl ,124
ɣrɔɣ ,3
stɑrk ,47
 aːlh ,6
haːx,14
hɵlp ,1031
 lɛnlŋ ,1
 stɪŋkt,15
fløːrs,1
keːl,1318
 slɔs,1
 frɛw,39
bøːrs ,15
 fɔlks,1
dʋɛr ,310
 pɛɪ,4274
mkkɑrt ,22
pɔnx ,36
 ʋɑx,13121
smɑrt,104
 skɔr,508
mkkɔrd ,3
bɛk,3803
mɔps,13
mklɑj ,4
 drɑmt,3
dœyf ,167
sʋɑrt ,3
vɑstɣ ,1
strɛŋs,3
zɔrxt,6010
 kœy,480
dɑjn,25
 teːltʲ ,3
spɑs,167
mɣoː ,1
 vɑŋh ,54
 fɵz ,2
ɣrɔlt,3
 lɵn,179
 bɵn ,132
 sfɔntst,1
tɵfts,2
mɛnt,20861
 ʋɛɪf ,7
vɛrdwljn,4
 ʋɪlt,1052
 trɔŋ ,3
flɛɪs,6
 flɑsh ,1
 slɑjn,96
 skrɵ ,3
ɣeːp ,2
 kɑn,10775
 ɣlɪd ,3
 beːs,324
ʃɑn ,976
ɑl ,129004
xrɪs,1552
slaːt,3606
 kɛnd ,207
fɔr ,12006
krij ,1
ldi ,53
hɑnh ,1
vɑt,2023
zaːx ,56
hɔss,36
 ʃɔnh ,8
 sxɔŋk,1
ʋoːdz ,21
ɛrt,42705
 sœys,10
pleːxh ,52
 nimp ,1
snus,124
prɑt,94
 ɣoːj ,60
 mœyz ,1
bɑss,39
 strɔŋk,51
 syrsh ,1
brɔs,14
kɵnt,36754
 mɛrktl,1
 tikst,1
zʋeːft,117
dɛt ,61
pɑsk ,34
dɛz ,120
plɑt,1637
kʋaːtst,3
klaːk,1
skɔp ,14
sɛkspl ,1
mɛst,279
 ʋir,206
 ʋɛɪɲ ,1
klœys,1916
 blɔnt ,2
 trɔns,13
 nɛɪl,15
 saːr ,1
hoːvt ,1150
 jɛt,388
frɔm,71
 speːt,17
moːrs,6
dreː,2693
stoːmljn,1
 kɵr,144
sɵbx ,1
 plaːts,4610
 steːn,1093
 spɑlm,1
kaːp,327
 fɛnlŋ ,1
jɑj,132
bdeː,5
rɑz ,76
hɵm,269
mɑrth ,9
tʋeː,52852
ɣrɔf ,20
mɔtsh ,2
 fri,1861
 dɛɪt,22
 lɑŋst,11
kɑpsh ,7
 rɪŋs ,126
 jɔps,6
 freːm ,2
 vlərs,1
 vɪŋs ,111
ɔv ,601
kɪːrt,7310
 ɣɵls,4
 məh ,27
ɔmsk,6
 ɣɛlvrl ,1
vɛɪts,2
 aːmtʲ ,1
bɛɪ ,33738
ʋɑsk ,4
 vlɔv ,1
pɪz ,20
kliʃ,3
vɑʃ,97
sxɑts,9
 skɑrt,12
 kərt,923
 bɛls,249
ʋɛnst,1053
 stɑndz ,294
vɔːrzlxtl ,1
 doːr,7106
 ʋɔnt ,8
 ɛɾrs,1
ʋun ,1
 dɑnts,4
 zilsk,4
 kɛɪlt,1
 smɑx ,6
kʋɪk ,14
 nəm,25
mɛɪn ,740
 skɪns,46
vrɛɪdh ,2
hʌʊpt,23
vɑŋ,20614
flɪrtʲ ,4
trɵlt,1
fɑʃ ,1
 poː ,4836
kvɑjts,1
pɑkl ,3
mlɑm ,3
maːn ,10044
traː ,13149
taːr ,857
 dukh ,1
 vrʌʊ ,131
klɛlŋkln ,1
 ɣlən,6
 rəx ,836
hʌʊf ,1
sprɔt,4
 ləkh ,2227
 sxyrt,21
rlsɪŋ,2
 ʋəns,158
lɑm ,1278
 ɵl ,239
trɵbsh ,4
neːn,3704
nils,197
dɔɣ ,86
pɔls,655
brɔwns,29
rɑn,60544
pɑŋ ,94
kɑdh ,2
 dɛɪs ,50
stɑks,9
 nɵx,89
smoːh ,1
skoːl,66
 ʋʌʊx,1
 prɛɪ,725
dyr,6912
 stɑndh ,39
ɑmp ,1281
skvɪt,9
moːtʲ ,106
 ɣɔx ,248
 ki,14442
ɑltt,1
 zœyxt,50
 ɣɛk,1161
 floːk,236
skrɵ ,8
 bəns,42
lndir,12
hlɛŋ ,3
hɑm,1917
 ɣlu ,38
 bu ,1393
fɵdx ,1
 zoːm ,3
hɛl ,28729
ɣɑŋ,13726
aːrts,2182
 bɔrxt,28
tɛj ,1
 lɛndl ,1
tlaːk ,1
lɛnz ,8
 dɛnl,6
lɪndk ,9
 daː,110214
 tɵrst,1
 ɛt,2496
kvɔn ,2
flɑpt,10
streːk ,60
ʋɪːɾ ,16
lɾreː ,3
 rɔlt,824
stɪː ,10466
jɵmp,45
sxlɔz ,18
strɑx ,8
 ɣlɪp ,38
 sklɔp ,1
døːk ,32
 skɑmp,230
 loːpt,836
mɑp,280
ʌʊk,334
ʃɛm ,3
kruh ,1
knaːxt,41
 flɵnx ,1
 ɣɔldz ,1
mɵsk,8
kʋɑrt ,33
prɛnz ,6
 flɑn,24
lɑnzh ,7
tɵŋ,63
 skɪr ,96
stɛɪn ,237
ɣrɔnt ,52
deːt ,1
rɛɪpt,4846
 vaːj,13
blɛn ,35
sxrɛɪft,1488
kʋɔŋ,1
ʃɔʋk ,3
zaːh ,49
 skɛl ,5
 ɣɔtʲ ,1
pɑrls,1
 ʋipt,1
bədr ,2
 mɑŋ,77
 ʋil ,3
hɪːrh ,1
 bir,213
zœyxk ,3
stɵm,171
 stɛɪx ,1
vlɪːr ,314
 dɛml ,1
 ʋeːp,18
 rɛŋk ,3
 leːn,66514
 zɔm,23
nøːkh ,3
 bɛɪts ,1
 kɔvk ,1
vɛrnls,1
 dɑrt,915
ɑrmp ,68
 vɑmpt,1
klɑmp,316
bɪns,128
 tɛlw ,1
 zɪɣn,52
 dɛnt,7896
 jɵfs,1
 spøːk,94
 mɪlk,86
blɔ ,1525
ɛlkh ,5
rɪxtʲ ,229
ɣɪŋh ,1
 strɪkt,633
lʌʊls,1
kɔrbl,6
 mɔrt,61
traːj ,9
 spist,5
 pərsh ,5
seːs,85
 dɪsks,10
naːk,2105
 traːk ,99
ɪs,1119872
 sɪn ,597
vloːt ,17
fɑht,7
 lɛsw ,1
ʋɑds ,3
 zɑv ,20
 ty ,9752
 prɵtst,162
ɣik,27
bɪf,32
vɔj ,1
 smɑst,13
rɔksh ,4
krɔts,27
rɔnt ,3070
ɛz ,2267
ʃɛɾ ,462
psɑl ,39
 lœyds ,10
ɣɑjn,52
ʃɑft,66
 dɪnt ,6
flup ,21
vrɑjt ,1
knʌʊ,19
splɛ ,11
 ɣənt ,4
 zɛns,2
brɛzɲ ,2
 sklɪ ,12
xstaːn,1
skreːnt,21
 sxɵrk,11
 prurt,1
naːj,1632
speːxt,2
byrtʲ ,19
dɵrx,4
lnvɑl ,1
hɑrd ,460
hum ,23
 krɵ ,17
bɪŋh ,21
mkbaː ,1
 tɪl,411
ɣrɛɪn,378
 zaːjt,133
 stɛmlŋ,12
lɑps ,2
 sfur ,33
skɔt,1402
vrum ,1
 sɛn,7596
 tɵx ,29
jɛɪt,2
rœymh ,18
 nɑsh ,2
 ʃaː ,5747
braːfst,1
pɑsl ,1
bɵltʲ ,13
 drɔxt,111
 neːt ,74
 lɔrts,9
 drɔn,130
sʌʊrs,2
slɪŋkt,8
 du ,3926
pɔstʲ ,8
 nɪljk,1
oːw ,2256
 dɵst,16
 skit ,1
 steːlh ,17
 slɪt,645
beːlŋ ,2
fʌʊnt ,42
brɔnf ,4
 troːj,22
 draːl,93
sɔf ,67
 løːf,4
 vɛxtʲ ,4
dɑvlts,1
fijjn,1
mir,732
kɵtwlj ,1
 bɪːr,71
 kɛɪkt,852
 slɪt ,2
 ʃɑr,121
ʋɛɣz ,11
stɑts,355
 dəl,14358
 taːr ,304
 dʌʊ ,198
ljaː ,1
stɑrsh ,18
drɑx,6040
stɑns,11
krɵm ,10
skreːts,3
tʲɛt ,1
 daːdsh ,1
voːf,1
 pɑɣn ,1
ʃɔr ,104
 snøː ,277
hɛɪxt,49
krɔŋk,22
ɣrɑpt,14
 rɑr ,70
 zɛŋ ,95
stɛrkt,196
ɵrx,2352
 fɑnt,615
kɑpk,1
 mɔsh ,1
 kɛnflm,1
 kirt,7
mɛlph ,1
 pɛkm ,1
rɑlph ,126
 niɡ ,1
sxaːl,717
mɛrf,13
 kaː,84905
meːl ,58
jɛk,3835
 drɛɪs ,1
 ɣɑlh ,7
vrɛtx,1
vrɛn,5
 tənsh ,82
 raːls,217
ʋɪŋ ,7501
 lɑn ,4699
 tʌʊm,62
jə,1758124
 kaːs,611
tɪf,438
 kəh ,19
 smɔr ,8
 ʋɔlv ,1
 moːntʲ ,3
 vɔːrt ,2
 vɛɲ ,2
drɔl ,81
 ɣənd ,1
nyʊ,1667
 plɪxt,959
vrɛk,62
sʋɪtx,50
 ɣlɪ ,80
jœysts,2
 nɪɣ ,341
 droːxs,1
spɪŋk,2
 ky,7664
 føːrs,209
tɛɪd ,1834
 ilp,9
sloːpt,275
tə ,173827
slaːf,1528
 ɣaːjtʲ ,1
 stɵln,1
styw ,50
sxir,43
ɪm ,13280
ɣɛs,605
smɔklŋ,1
 doːj,195
 fəsrs,2
 bɔld ,2
 kɔrf,62
ɑkr,6
kɔnlŋkrljk,1
 støːs,27
ɛll ,10
straːl ,230
 ʋɑj ,40
 sxi ,8191
ɣʌʊts,4
brɵnʃ ,1
 sleːf ,2
vɛrns,2
nitsʃ,2
ɣeːrft,11
mɪːr ,3698
bɑŋst,3
ʃnɪt ,40
 steːd ,2
vrlɛn ,6
plraː ,4
 brɔf,3
bɵz ,81
ɣrɛtx,324
lmbɑr ,1
 blumt,16
haːrdh ,6
pɑks,40
traːɣ ,45
leːx ,1368
 dɛŋ ,5143
dɔls,25
drɵms,88
ɣrɔwt,4
nɔr ,10890
aːrd ,2594
 nɔw,55
rɔlf ,1
 klɵbsh ,1
 maːn ,220
 ɣrupt,1
 vɔnt,31887
hɔːrn ,72
vljɑnt,3
brut ,2
 ʋɪxts,8
kɛɪt,382
 rɑbl ,1
 dɵkt,596
zʋir ,18
plɵhn,2
ɔptl ,3
 tɛlt ,6
mknɛɪ ,1
 rɛls ,1
 bɔndz ,9
 kɵlt ,1
 stɪŋs,148
hɑx,220
 ʋiltʲ ,18
ʋɪŋɡ ,1
mɛx ,496
 lɛljn ,1
 spɔ ,250
 ɣrən ,9
zøːl,17
 drɔsh ,1
raːst,82
krɑtʲ ,17
pɛɪns,41
vɔŋk,146
teːh ,101
ɪm,33032
 vɔlx,3265
flɑm,40
stɑnz ,2
 ɣɛm ,5
 ɣaː,52574
kʌʊx,52
 lɛɪm ,4
krɔw ,4
ʌʊɣz ,6
 flaːt,88
vris ,11
hɛs ,2
rɛɪkh ,7
 ɣɑs,1349
 sɵrts,6
 tɔɣ ,13
 məɲ ,10
 sɛlŋ,5
 kɪks,13
fɛl ,625
 vaːɣ ,24
 pluxt,22
bloːt,1118
lɔl,2527
hət,1068396
ɵsk ,15
 plaːtsx ,1
 klif ,1
 kɵ ,785
 skərst ,1
 flɛɪntʲ ,1
ksɑr,5
 ɣrin,4
ɵltblŋ ,1
vlɑts,2
 snɑp,2698
il ,2274
hilp,1328
vɑrz ,1
ʋɑlt,552
 prɵk ,7
droːxsh ,1
nɛsk ,1
 paːk,6
drɵxsk ,2
 kloːx ,2
ʋaːjx ,6
zɛɪn,351001
 sint,51
drɵx,5062
kɔf,419
ɛhp,12
dʋɪxt,125
keːlh ,6
zʋɑkt ,1
dʒɑm ,2
 ʒik,59
 snup ,27
deːj,14
 blift,31627
 taːrs,2
trɛm ,6
ʋʌʊrt,1
 smuj ,2
 ʋut,18
ʋɛrf,336
 ɣɪmt,1
 nɵft,21
 mɵŋks,2
skrɵm ,2
naːzl ,2
fɑjx,1
 mɑlt,1
 nɛɪx,82
bɵs ,883
 flək,3096
 lɔkt,275
 spɑtx ,13
zuf,14
bɑjn ,43
 ʋɑs ,22
ɣrɔf,546
 nɔx,2826
 sʌʊs ,8
smoːts,1
zlɛn,20
lvdeː,1
maːrt ,7
 frɪ ,561
 zɑm ,66
flɛkst,3
laːntʲ ,15
mɵzl ,1
bœyks,2
vrin,53103
mdnɛt,1
jʌʊ,109557
 frɪk ,1
 sxɛɪns,3
skɛtx,45
ɑnk ,201
lsaː ,431
tɪnk ,178
ʋɛɪnh ,19
 vɔtsh ,1
 ərn ,5
bɔps,33
 zɪd ,1
vraːj,47
 zɛtlŋ,4
krɛɪt,588
xrip,1
 taːj,34
 duk ,131
sʋɑr ,17
hɛʃ,10
 strɔs,6
hyr ,1302
 stultʲ ,8
flɑk ,24
 kɑlf,26
 druv ,26
pɛd ,11
 lɪft,150
raːdz ,5
 bɔr ,2855
 nir ,112
 pɑɾ ,6
hɛh,45
baːt,397
 lʌʊts,2
 flɛk ,335
seːhl ,28
vɔlp,7
 kreː ,5438
slyw ,127
 rɔhn,1
 vɪnk ,2
jɔk,108
dɔns ,5
ksɪk ,21
tɵrm,13
hɔn,14952
 dɑp ,26
sɑf ,133
 dɑrm,100
 splɛɪn,34
rɵk,22985
rɵss,242
 brɵxt,7
 vrut,3
rɔb ,34
flɪn,508
sɵŋ ,1
kɔn,75959
jɔdl,8
tɛx ,3255
 nɑrt,1237
 rɑks ,3
 nøːtʲ ,2
 bɛɪds ,7
 maːl,69905
(en)h ,140
kɔmrt,1
 rɛʃ,40
fʌʊl ,1
 ɑxs,3
 zɛlŋ ,1
 moːr,147
tɔn,23912
trɛs,856
 sfɛrf,6
brɛxt,74
 rəltsx ,1
moːjt,7
hɛnsh ,14
 vɔn ,18054
tɛr,50245
sʋɪft ,1
 təlt,932
 spən ,28
 plɔflŋ,1
œy,552184
zɔlk,1
ɔːrt ,3013
kɑt ,361
klɔs ,3
 aːrts,17
 aːn,5199
neːls,142
 dɛn ,5367
 deːls,228
bɵŋk,9
ɔrn,1612
ʃɪmp,23
 braːn,13
 ɣlɑm ,1
 doːsl,1
htsy,1
 flɪps,1
kreːm,8
 brɑm,17
 ɣlər ,1
tɵrt ,106
ʃʋuʃ,1
 tɪŋ ,4079
 nɔkx ,85
 dhɛɪt,3939
 vərd ,20
ʌʊfsx ,2
ʋɑhk ,1
veːlh ,103
nɵk ,40
lkbeː ,1
pɔnt ,38
 laːh ,230
 deːs,165
 stɪnkt,517
 stərt,3527
staːl,755
 slɔws,3
sɪn ,2365
teːk,5659
aːnɣlf ,1
 kɑjt,54
hɔr,2476
ɛn,1277075
dɪk ,1261
kɪltʲ ,1
vɛrst,21
 mɵts,72
vərwj ,1
 drɪks,182
 tɛkn ,1
 spɛl,2185
plaːt,21597
lnɪ ,33
 mɛln ,1
hɛɪl ,73
ti ,60482
drɛn ,4
rɑfh ,14
 strɛl,9
lxaː ,2
 zɑrt,488
 riŋ,1
 mʌʊn ,1
 boːh ,1
snɔk ,2
meːn,12635
 rə ,15583
 khɛɪt,6439
sprɔ ,337
trɔs,134
beːrt,109
lɑmz ,47
 kɔhn,1
stɪs,75
yw ,16409
 raːn,11912
ʋik,110
lʌʊ,14658
 vrɪŋ ,6
kʋeːk ,47
 køː ,1701
 drɑxs ,32
 fly ,23
 snɑk,19
 nɛtz ,1
pɛt,1470
prɵts,228
 staːrtʲ ,20
 tɪsm,2
lntɵ ,14
kɔɣ ,501
kɛrx ,24
 ɛh ,5
snɑrk,1
 tɛxt ,1
 tɛln,10
ɣrɪmz ,6
blɔd ,1
sxoːt,2622
 sklɑs,22
fri,3060
 sxɪmls,1
sprɛɪ,2197
 zɔl ,53
mɑl,1892
 trɑɣ ,1
kɑtx ,48
blɛɪ,79774
 ɪx ,20
 nɑm ,23
stɪŋkx ,2
ʋɔrmp ,6
blɑs,11
pɔrk,17
 zɛmt,37
ɛlv ,17102
 dɵh,5
 mœyl,17
stɵb ,2
 traːj,34
raːs,124
ndaː,3
ɛft,3062
hɑlm,5
hɔŋs,13
zoːɣ ,134
 dœyn,4
 jɑrt ,67
ɣrɑɣ ,1
 stərx ,11
 ʋɛrv ,1
 ʃɑx ,9
prɔp,312
hɵns,2
bɛɣrjpt,1
 mɑnlŋ,9
 skaːrtʲ ,145
 ɑzh ,1
 teːx,18
 sɑr,331
kɔldsh ,1
skɑp,89
 naːp,94
 sfɛr ,843
mɵʃ ,23
 ɣreː,9595
 ɪʃ,4
 tɪnt,18
 dɑrts,657
 bɪs,260
 ɣəldh ,4
 zɑw,8
dux,57
 pɔʃ,6
sxʋi ,1
 rɛxt,5330
ɣrɵf,11
zɛtʲ ,227
kɛk,60
 sxɛrts,1
 aːls,134
lraːks,4
ɛflr ,1
 skeː ,32
 krɪx ,6
 snɔp,1
tʃɔŋ ,11
 pɪŋs ,44
 kɵt,327
 rɛɪns,15
 ʃi ,3746
ʋɑlbrld ,1
 sxɪft,440
slɛn ,45
 laptɒps(nl),23
troːl,2
broːm,35
 mɪkt,41
mʌʊl ,10
smeːt,163
zaːxt,174
mkɣɵrk,4
 œyt ,14
 tɑlŋ ,1
 zɛv ,3
 blɵf,47
 røːt,3
rɛt ,248
 ɣɛtk ,2
 lɑnh ,2
sɑɣ ,2
ɣnu,39
 jɔnt,7
ʃɑhs,2
lɪnts,30
knɪʃ,6
 ɔs ,1
 tɑss,3
rimp ,9
fʌʊtʲ ,345
rɛhnk ,2
sʋɪt ,2
 dɛns ,1
 vaːrts,1
 laːtʲ ,113
ɣurst ,1
hsi ,9
ɣirz ,13
 stiːms,28
 krɑw,9
 zɪɣn ,9
 lɛpl ,3
lɛr,3489
 lirz ,1
krɔhn,2
boːtst,14
 slœyks,1
kɔh,95
 tɪks ,3
 dɪsx ,1
 mɔmt,186
 trɔs,106
 smɑtʲ ,1
 vlɛs,4
vrɵxtʲ ,3
tʃɛk,617
 spɑnlŋ,6
dɛs,1676
ʋɑlm,14
kɪr,5271
 ɣlyr,61
 drøːks,1
spɵ ,5186
fuj ,27
bi ,20059
rɔɣ ,92
 neːlh ,2
 rɛk ,3623
ɣlɵh ,1
blɔkt,22
 nɛnz ,14
ŋɑj,5
 dəɲ ,29
 tɪ ,2612
 pɛtlt ,6
re ,808
smɑs,26
ɑŋst,3897
 slʌʊ ,6
 dɪxtʲ ,22
kvɑm,2
ʋɛɪɡ ,1
lɑps,73
 lɛrts,3
 ʋɑlkt,2
ʃnɪːr,6
ʌʊn ,1251
 koːh ,1407
 stur,19
ʋɪrt,8
 jɪŋ ,23
 tirs,150
 broːt,368
 lɑndsx ,1
tlmoː,1
 dɑrtsx ,3
 vøːr,15
 lœydsh ,3
ɣrɵls,1
trɵmp,14
 trən,12
dʋɔr ,6
must ,2
 dɛnh ,131
splɪss,8
stɔkh ,116
kʋeːt,6
 føː ,8
 maːlh ,1
 sxis,1
pɑl ,392
slɛxtst,23
nɑrk,10
skɑmp,267
noːjt,63894
 mɵnt,481
ɑxtʲ ,916
yh ,249
 mœy,450
 dɔnt ,27
ʋaːk,1811
 lɑjn ,8
slɛtʲ ,117
nɑjps,6
lŋkoːp,5
dɔːrnh ,4
ɣrunlxt,1
sluɣ ,1
 ʋɛlft,1
 krut,111
 vaːrs,13
prɛntʲ ,8
 vɛɪx,10
 ɪz ,2
lɛɪs,4840
 dɛtz ,1
 zøːmk ,1
 lœykt,6
 ɣɛrk ,1
skrɪpt ,9
dɵɣ ,3
 ɣɛnl,5
dɔr ,1279
zʋux,17
lsɪs,18
jɵx ,2
 zuŋ ,17
 lɔk,937
mɵms,3
klɔm,342
 smaːxt,5
vərʃ ,15
 ɵnts,1
 rɔsh ,43
rhɔt,2
ɑhn,128
trɔn,1910
 ɛxt,309
drɑjms,2
kʋɑrtsx ,1
 stoːl,4774
krœy ,3742
kihl,2
lɑrt,305
 paːh ,19
 nɛd ,25
mɛp ,25
hɪlt ,4
 ɑtz ,1
drøːks,2
bʌʊl ,36
 ply,180
ɣɵnsh ,3
 tum,2
 trɑnt,96
 ɛm,2272
 køːrlx ,1
dœyɡ ,1
 jaːjs,6
ʋɛx,75315
klɑw,9
 tɛks,336
kʋɛɪt ,702
jyw ,1183
 kɔpt,4
ɪːrh ,575
 rɛɪkst,103
ʃɪnts,5
 ɛfs,19
 ɔp,231
 flɑ ,73
 slaːp ,84
 stʌʊk ,1
 fən,8582
 bɪːr ,45
snɛr ,12
mlʌʊt,2
 noːx ,1
 nɛprljs,1
 bœyk,98
styrk ,14
vɛk,129
bɑs,461
krɛss,1
 snɪk,59
 bɑj,131
ʋli,4
 tɛh,1
ʃoːt,41
zloː ,13
 mɛnts,79
 lɔks,60
jɑx ,284
 sɵl ,101
sxɔt ,650
ʋuʃ,3
 skrɪ ,11
praːtsh ,9
 bɛɡ ,14
 doːlh ,6
spud ,205
 lɛ,88834
prɔhl,1
blɔk,1126
tɔnljn,1
 lɛkt,346
rikt,30
 ɣrə,268
 prɑnd ,1
 tɛp ,2
ɑzh ,6
sxoː,34347
lndoː,12
hɔspl ,1
 byns,1
 kloːp ,5
 sɑhl,23
ɑjds ,1
pfɛ ,13
klɔr ,2
 ɛrlj ,50
 voːst,16
 praːk,38
ɣrin ,2
